,R1
2314.0,11
2816.0,11
3119.0,11
2185.0,11
2209.0,11
2959.0,11
2410.0,11
2387.0,11
2705.0,11
2944.0,11
3072.0,11
2999.0,11
1304.0,11
2812.0,11
2713.0,11
2424.0,11
2789.0,11
3048.0,11
2348.0,11
763.0,11
3122.0,11
2338.0,11
1245.0,11
2808.0,11
2798.0,11
1116.0,11
2081.0,11
2871.0,11
1954.0,11
2357.0,11
2091.0,11
2286.0,11
2442.0,11
1132.0,11
2066.0,11
2846.0,11
2282.0,11
2020.0,11
1342.0,11
2397.0,11
2878.0,11
2130.0,11
2733.0,11
2342.0,11
3116.0,11
2795.0,11
3158.0,11
2229.0,11
2787.0,11
2449.0,11
2408.0,11
591.0,11
2010.0,11
3162.0,11
1024.0,11
2827.0,11
2895.0,11
2826.0,11
3183.0,11
1990.0,11
3010.0,11
1066.0,11
2579.0,11
1117.0,11
3157.0,11
3280.0,11
2063.0,11
2987.0,11
3165.0,11
1253.0,11
1625.0,11
3477.0,11
2918.0,11
2677.0,11
1673.0,11
2832.0,11
2315.0,11
1125.0,11
722.0,11
1229.0,11
843.0,11
2637.0,11
2690.0,11
3223.0,11
2182.0,11
2653.0,11
1069.0,11
1969.0,11
2072.0,11
2721.0,11
1015.0,11
2316.0,11
938.0,11
1394.0,11
3194.0,11
1112.0,11
1228.0,11
3108.0,11
2305.0,11
1039.0,11
662.0,11
1035.0,11
2886.0,11
3036.0,11
1052.0,11
1226.0,11
3209.0,11
2383.0,11
1079.0,11
2926.0,11
1349.0,11
2195.0,11
1379.0,11
2506.0,11
1248.0,11
2960.0,11
695.0,11
2493.0,11
2660.0,11
3192.0,11
2301.0,11
2742.0,11
696.0,11
2598.0,11
3134.0,11
2762.0,11
1179.0,11
3061.0,11
1242.0,11
755.0,11
3105.0,11
2309.0,11
3060.0,11
1054.0,11
1521.0,11
1034.0,11
1134.0,11
1645.0,11
3057.0,11
1150.0,11
2635.0,11
2085.0,11
2105.0,11
2258.0,11
2587.0,11
2112.0,11
2445.0,11
654.0,11
3097.0,11
1171.0,11
3161.0,11
2609.0,11
2049.0,11
2526.0,11
1124.0,11
3483.0,11
2950.0,11
2253.0,11
2888.0,11
2433.0,11
3003.0,11
2780.0,11
2327.0,11
2668.0,11
3206.0,11
2727.0,11
1019.0,11
1074.0,11
3221.0,11
1133.0,11
3089.0,11
2724.0,11
2658.0,11
3288.0,10
2331.0,10
3452.0,10
1264.0,10
2264.0,10
2699.0,10
2268.0,10
1072.0,10
1941.0,10
3196.0,10
2711.0,10
2418.0,10
1244.0,10
1735.0,10
1293.0,10
2728.0,10
2008.0,10
1359.0,10
2304.0,10
1879.0,10
2980.0,10
3041.0,10
731.0,10
2452.0,10
2171.0,10
2503.0,10
2375.0,10
1183.0,10
1087.0,10
1968.0,10
1837.0,10
3260.0,10
1076.0,10
1270.0,10
3270.0,10
1178.0,10
1384.0,10
2610.0,10
1662.0,10
