status_code,t,status,l
1,2019-03-06T02:10:03.000Z,TF,2019-03-07T00:56:13.942Z
2,2019-03-07T00:40:17.000Z,Registered,2019-03-07T06:46:28.315Z
1,2019-03-07T02:07:48.000Z,TF,2019-03-07T10:46:08.990Z
1,2019-03-07T02:07:48.000Z,TF,2019-03-07T18:46:28.831Z
2,2019-03-07T02:07:48.000Z,Registered,2019-03-07T02:07:48.000Z
1,2019-03-07T02:07:48.000Z,TF,2019-03-08T00:55:19.822Z
2,2019-03-07T02:07:48.000Z,Registered,2019-03-07T13:46:45.588Z
2,2019-03-08T00:58:29.000Z,Registered,2019-03-08T03:49:59.381Z
1,2019-03-08T02:34:21.000Z,TF,2019-03-08T02:34:21.000Z
2,2019-03-08T02:34:21.000Z,Registered,2019-03-08T13:46:07.356Z
1,2019-03-08T02:34:21.000Z,TF,2019-03-09T01:49:42.063Z
2,2019-03-08T02:34:21.000Z,Registered,2019-03-08T06:45:54.422Z
1,2019-03-08T02:34:21.000Z,TF,2019-03-08T09:46:07.050Z
2,2019-03-09T01:37:07.000Z,Registered,2019-03-09T07:49:09.853Z
1,2019-03-09T03:20:21.000Z,TF,2019-03-09T03:20:21.000Z
2,2019-03-09T03:20:21.000Z,Registered,2019-03-09T12:48:33.662Z
1,2019-03-09T03:20:21.000Z,TF,2019-03-09T18:51:03.280Z
2,2019-03-09T03:20:21.000Z,Registered,2019-03-09T03:20:21.000Z
2,2019-03-09T18:52:57.000Z,Registered,2019-03-09T20:51:28.139Z
1,2019-03-09T18:58:04.000Z,TF,2019-03-10T01:53:01.425Z
2,2019-03-10T01:33:09.000Z,Registered,2019-03-10T11:49:24.057Z
2,2019-03-10T05:04:01.000Z,Registered,2019-03-10T17:52:25.687Z
1,2019-03-10T05:04:01.000Z,TF,2019-03-10T15:52:33.484Z
1,2019-03-10T17:01:59.000Z,TF,2019-03-11T01:02:44.574Z
2,2019-03-11T01:01:55.000Z,Registered,2019-03-11T07:45:31.330Z
1,2019-03-11T02:37:04.000Z,TF,2019-03-11T02:37:04.000Z
1,2019-03-11T02:37:04.000Z,TF,2019-03-11T12:46:25.761Z
2,2019-03-11T02:37:04.000Z,Registered,2019-03-11T02:37:04.000Z
1,2019-03-11T02:37:04.000Z,TF,2019-03-11T18:46:25.495Z
1,2019-03-11T02:37:04.000Z,TF,2019-03-12T03:01:32.817Z
2,2019-03-11T02:37:04.000Z,Registered,2019-03-11T10:46:29.695Z
2,2019-03-12T03:01:30.000Z,Registered,2019-03-12T06:49:06.372Z
2,2019-03-12T03:01:30.000Z,Registered,2019-03-12T14:46:21.358Z
1,2019-03-12T03:01:30.000Z,TF,2019-03-12T19:45:28.960Z
2,2019-03-12T03:01:30.000Z,Registered,2019-03-12T03:01:30.000Z
1,2019-03-12T03:01:30.000Z,TF,2019-03-13T01:45:45.549Z
2,2019-03-12T03:01:30.000Z,Registered,2019-03-13T03:46:10.308Z
1,2019-03-12T03:01:30.000Z,TF,2019-03-12T08:48:47.073Z
1,2019-03-13T02:09:28.000Z,TF,2019-03-13T02:09:28.000Z
1,2019-03-13T02:09:28.000Z,TF,2019-03-14T01:45:44.691Z
2,2019-03-13T02:09:28.000Z,Registered,2019-03-13T06:47:04.544Z
1,2019-03-13T02:09:28.000Z,TF,2019-03-13T11:45:28.680Z
2,2019-03-13T02:09:28.000Z,Registered,2019-03-13T13:45:29.295Z
1,2019-03-13T02:09:28.000Z,TF,2019-03-13T18:46:22.072Z
2,2019-03-13T02:09:28.000Z,Registered,2019-03-13T20:48:07.365Z
2,2019-03-14T01:31:21.000Z,Registered,2019-03-14T06:46:43.287Z
1,2019-03-14T02:15:46.000Z,TF,2019-03-14T02:15:46.000Z
2,2019-03-14T02:15:46.000Z,Registered,2019-03-14T12:46:10.796Z
1,2019-03-14T02:15:46.000Z,TF,2019-03-15T01:00:26.848Z
2,2019-03-14T02:15:46.000Z,Registered,2019-03-15T06:47:12.450Z
2,2019-03-14T02:15:46.000Z,Registered,2019-03-14T02:15:46.000Z
1,2019-03-14T02:15:46.000Z,TF,2019-03-14T08:46:22.322Z
2,2019-03-15T03:48:46.000Z,Registered,2019-03-16T01:45:49.956Z
1,2019-03-15T03:48:46.000Z,TF,2019-03-15T08:46:17.090Z
1,2019-03-16T00:36:20.000Z,TF,2019-03-16T00:36:20.000Z
2,2019-03-16T00:36:20.000Z,Registered,2019-03-17T19:45:30.273Z
1,2019-03-17T17:02:09.000Z,TF,2019-03-17T17:02:09.000Z
